Time (sec), Heater 1 (%),Temperature 1 (degC), Energy balance (degC), FOPDT (degC)
1.956827430725097656e+02,2.000000000000000000e+01,2.843900000000000006e+01,3.150174790749389331e+01,3.023357224138262822e+01
1.994408206939697266e+02,2.000000000000000000e+01,2.863299999999999912e+01,3.157838961570763558e+01,3.031886675813962739e+01
2.030691792964935303e+02,2.000000000000000000e+01,2.863299999999999912e+01,3.164984344423089624e+01,3.039872103186785068e+01
2.065994808673858643e+02,2.000000000000000000e+01,2.863299999999999912e+01,3.171704939103278775e+01,3.047413379561169222e+01
2.083645758628845215e+02,2.000000000000000000e+01,2.863299999999999912e+01,3.174981809120498610e+01,3.051101516594440000e+01
2.098285436630249023e+02,2.000000000000000000e+01,2.882600000000000051e+01,3.177658353876142883e+01,3.054119564187013225e+01
2.164744625091552734e+02,2.000000000000000000e+01,2.895499999999999829e+01,3.189353042215401501e+01,3.067366855077890619e+01
2.226310713291168213e+02,2.000000000000000000e+01,2.924500000000000099e+01,3.199548804052426476e+01,3.079001115509968400e+01
2.239385392665863037e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.201638475709438580e+01,3.081395953226100559e+01
2.252065842151641846e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.203640543139385954e+01,3.083693789157886300e+01
2.265153830051422119e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.205681868813991287e+01,3.086040147992086702e+01
2.277609906196594238e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.207601244478797753e+01,3.088249577982836769e+01
2.290199494361877441e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.209518293391960242e+01,3.090459507343322443e+01
2.303116021156311035e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.211461484555411516e+01,3.092702858380724251e+01
2.315691618919372559e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.213330650456782678e+01,3.094863919563133692e+01
2.328369772434234619e+02,2.000000000000000000e+01,2.953500000000000014e+01,3.215192626893116312e+01,3.097019799866621526e+01
2.340747153759002686e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.216988955066034350e+01,3.099102675621050196e+01
2.353979687690734863e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.218886212136555969e+01,3.101305823336537770e+01
2.366470048427581787e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.220655334634534483e+01,3.103363232305600405e+01
2.378800508975982666e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.222381365444806534e+01,3.105373405225105898e+01
2.391050291061401367e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.224076223443739764e+01,3.107350076790037363e+01
2.403796513080596924e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.225818981784385642e+01,3.109385546335836636e+01
2.416395976543426514e+02,2.000000000000000000e+01,2.940599999999999881e+01,3.227521081404171355e+01,3.111376442821619293e+01
2.428902547359466553e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.229190624227601347e+01,3.113332095636408425e+01
2.442107944488525391e+02,2.000000000000000000e+01,2.940599999999999881e+01,3.230932083842901648e+01,3.115375020844299669e+01
2.454566125869750977e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.232555112775349926e+01,3.117281848447296966e+01
2.467066180706024170e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.234164422668186489e+01,3.119175292025954604e+01
2.479688367843627930e+02,2.000000000000000000e+01,2.943799999999999883e+01,3.235770197199451559e+01,3.121067326661255592e+01
2.495429446697235107e+02,2.000000000000000000e+01,2.940599999999999881e+01,3.237746002770086307e+01,3.123399160334405877e+01
2.507924814224243164e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.239293506298730563e+01,3.125228529701676194e+01
2.520408201217651367e+02,2.000000000000000000e+01,2.934199999999999875e+01,3.240821303188863567e+01,3.127037222219519208e+01
2.533396809101104736e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.242391829845468010e+01,3.128899248320317739e+01
2.546090719699859619e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.243908120738933576e+01,3.130699656974896072e+01
2.558622858524322510e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.245387265734996163e+01,3.132458536108056535e+01
2.571556518077850342e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.246895458044429006e+01,3.134254609847759454e+01
2.585113956928253174e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.248456632429122237e+01,3.136116640714159587e+01
2.597445416450500488e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.249859275642296552e+01,3.137792118029113908e+01
2.610524368286132812e+02,2.000000000000000000e+01,2.927700000000000102e+01,3.251329103948853572e+01,3.139550442750960713e+01
2.625818092823028564e+02,2.000000000000000000e+01,2.940599999999999881e+01,3.253024845581489899e+01,3.141582359864422358e+01
2.640222520828247070e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.254599608514996589e+01,3.143472588551589553e+01
2.652346172332763672e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.255908418290607642e+01,3.145046030050576391e+01
2.664515757560729980e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.257207115337610048e+01,3.146609526643261034e+01
2.677111589908599854e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.258535582907916250e+01,3.148211173312640199e+01
2.689218804836273193e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.259797617860675700e+01,3.149734923522396102e+01
2.701203103065490723e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.261032624683093673e+01,3.151228139376399184e+01
2.713361093997955322e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.262271244389233971e+01,3.152727835121735112e+01
2.726153671741485596e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.263559160206261822e+01,3.154289488525786567e+01
2.738150398731231689e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.264752807371422705e+01,3.155738938866708310e+01
2.750128352642059326e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.265931088288874662e+01,3.157171736428747266e+01
2.762114918231964111e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.267096866452408221e+01,3.158591318286942951e+01
2.774866104125976562e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.268322521352251897e+01,3.160085970136471900e+01
2.787308025360107422e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.269504216576768840e+01,3.161529141729190684e+01
2.799493811130523682e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.270648117860957882e+01,3.162928173095219719e+01
2.812008850574493408e+02,2.000000000000000000e+01,2.960000000000000142e+01,3.271809218648394335e+01,3.164350293848209361e+01
2.824080615043640137e+02,2.000000000000000000e+01,2.966400000000000148e+01,3.272916181692806958e+01,3.165708062374459786e+01
2.836237359046936035e+02,2.000000000000000000e+01,2.976099999999999923e+01,3.274018175045227963e+01,3.167061655021085187e+01
2.848265650272369385e+02,2.000000000000000000e+01,2.982499999999999929e+01,3.275096062416668019e+01,3.168387516590011188e+01
2.860787780284881592e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.276205188333597107e+01,3.169753766234529735e+01
2.873212094306945801e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.277292678356906208e+01,3.171095326023994687e+01
2.885586040019989014e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.278363067653464213e+01,3.172417712530383227e+01
2.898014519214630127e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.279425573565197283e+01,3.173732271463842380e+01
2.910946314334869385e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.280517862231056370e+01,3.175085689477090156e+01
2.923559813499450684e+02,2.000000000000000000e+01,2.992200000000000060e+01,3.281570404546715736e+01,3.176391818387546806e+01
